game,seed,rl_won,rl_steps,rl_reward,bayes_won,bayes_steps,bayes_reward
1,33158374,1,15,10027.0,1,15,10026.0
2,1465339467,1,18,10045.0,1,22,10048.0
3,1273345680,0,1,-1000.0,1,26,10110.0
4,115579757,1,6,10030.0,1,7,10032.0
5,1952249162,0,6,-908.0,0,6,-908.0
6,473219222,1,9,10015.0,1,9,10016.0
7,547800578,1,7,10094.0,1,7,10094.0
8,395935448,1,13,10099.0,1,12,10105.0
9,716435562,1,22,10103.0,1,20,10104.0
10,377755045,1,26,10108.0,1,23,10113.0
11,746900260,1,15,10021.0,1,14,10026.0
12,1743959672,1,19,10102.0,1,18,10106.0
13,969357255,1,11,10020.0,1,7,10020.0
14,1982868283,1,24,10107.0,1,23,10103.0
15,965220468,1,14,10027.0,1,15,10029.0
16,593938996,1,23,10054.0,1,24,10056.0
17,1693852805,1,17,10107.0,0,2,-999.0
18,1760409515,1,29,10086.0,1,21,10082.0
19,1850933495,0,1,-1000.0,1,14,10103.0
20,1911030005,1,18,10101.0,1,16,10106.0
21,53841429,1,8,10026.0,1,7,10026.0
22,1101595663,1,15,10103.0,1,10,10100.0
23,575885763,1,7,10093.0,0,2,-999.0
24,526057474,1,15,10098.0,1,18,10103.0
25,518022750,1,11,10043.0,1,11,10044.0
26,1770045348,1,12,10096.0,1,11,10096.0
27,1700981397,1,12,10103.0,1,13,10105.0
28,459052467,0,1,-1000.0,1,16,10108.0
29,879613214,1,21,10042.0,1,23,10045.0
30,1592288369,1,18,10101.0,1,18,10099.0
31,318317950,1,20,10044.0,1,16,10048.0
32,1352786287,1,8,10096.0,1,9,10097.0
33,941907327,1,16,10025.0,1,14,10031.0
34,1991591921,1,11,10069.0,1,11,10068.0
35,1587352716,1,21,10106.0,1,15,10112.0
36,498019042,1,4,10092.0,0,1,-1000.0
37,1793255565,1,19,10045.0,1,19,10050.0
38,1716108145,1,8,10013.0,1,8,10014.0
39,457504877,1,17,10046.0,1,23,10052.0
40,1112750942,1,28,10106.0,1,25,10110.0
41,1705426420,0,1,-1000.0,0,1,-1000.0
42,497261917,1,9,10097.0,0,1,-1000.0
43,525711219,1,16,10110.0,1,16,10103.0
44,356276112,1,7,10014.0,1,7,10014.0
45,16319298,1,10,10018.0,1,10,10017.0
46,1068993669,0,1,-1000.0,1,6,10094.0
47,34687563,1,14,10104.0,1,18,10107.0
48,1251391636,1,21,10038.0,1,19,10039.0
49,892880451,1,17,10071.0,1,14,10070.0
50,395862813,1,17,10099.0,1,18,10109.0
51,777045672,1,18,10028.0,1,18,10030.0
52,31986589,1,15,10041.0,1,17,10048.0
53,307974985,1,14,10108.0,1,12,10106.0
54,1011750904,1,28,10074.0,1,24,10076.0
55,166009390,0,1,-1000.0,1,11,10104.0
56,1563890638,1,20,10083.0,1,22,10084.0
57,551657761,0,1,-1000.0,0,1,-1000.0
58,1972679534,1,12,10100.0,0,3,-998.0
59,364416294,0,15,-960.0,1,11,10038.0
60,1343324047,1,9,10016.0,1,8,10017.0
61,1106683805,1,12,10097.0,0,1,-1000.0
62,1969505726,1,22,10104.0,1,21,10110.0
63,1326696624,1,21,10106.0,1,15,10109.0
64,1856908173,1,17,10098.0,1,22,10105.0
65,996800583,1,6,10024.0,1,6,10025.0
66,468458252,1,18,10038.0,1,17,10040.0
67,406430445,1,13,10046.0,1,12,10051.0
68,1859994493,1,20,10104.0,0,2,-999.0
69,436386690,1,20,10104.0,1,18,10105.0
70,1569277833,1,17,10033.0,1,15,10034.0
71,1132670987,1,22,10103.0,1,18,10103.0
72,596711166,1,24,10106.0,1,16,10108.0
73,881793131,1,4,10091.0,1,5,10092.0
74,1711637996,1,16,10098.0,1,18,10102.0
75,972706137,1,15,10101.0,0,1,-1000.0
76,1858049479,1,23,10101.0,1,21,10105.0
77,2031390834,1,16,10100.0,1,14,10108.0
78,643037983,1,18,10101.0,1,11,10099.0
79,1129167025,1,22,10081.0,1,18,10079.0
80,1131814256,1,20,10106.0,1,12,10106.0
81,1166011179,1,23,10105.0,1,22,10108.0
82,153516747,1,20,10048.0,1,16,10047.0
83,794201560,0,13,-967.0,1,23,10048.0
84,1252494947,1,16,10102.0,1,18,10105.0
85,1972064322,1,15,10100.0,1,18,10108.0
86,510900102,1,26,10100.0,1,25,10104.0
87,1383168686,1,27,10100.0,1,25,10101.0
88,1642746920,1,29,10111.0,1,28,10114.0
89,1984971981,1,25,10103.0,1,22,10118.0
90,372871098,1,32,10085.0,1,28,10089.0
91,1448038571,1,17,10041.0,1,17,10047.0
92,671608880,1,13,10024.0,1,13,10022.0
93,944998020,1,10,10099.0,1,10,10096.0
94,31083701,1,9,10015.0,1,9,10015.0
95,1551035837,1,23,10111.0,0,1,-1000.0
96,69904718,1,15,10062.0,1,18,10071.0
97,803059054,0,1,-1000.0,1,10,10094.0
98,1066659082,1,18,10039.0,1,12,10039.0
99,1436707478,1,19,10101.0,1,18,10107.0
100,1005693509,1,29,10108.0,1,20,10105.0
