game,seed,rl_won,rl_steps,rl_reward,bayes_won,bayes_steps,bayes_reward
1,33158374,0,5,-996.0,0,163,-552.0
2,1465339467,0,16,-945.0,0,197,-584.0
3,1273345680,0,2,-999.0,0,1,-1000.0
4,115579757,0,1,-1000.0,0,148,-585.0
5,1952249162,1,198,10444.0,1,193,10476.0
6,473219222,0,189,-626.0,0,11,-986.0
7,547800578,0,2,-999.0,0,187,-543.0
8,395935448,0,1,-1000.0,1,195,10472.0
9,716435562,0,231,-562.0,1,229,10494.0
10,377755045,0,4,-994.0,1,183,10473.0
11,746900260,0,1,-1000.0,0,2,-999.0
12,1743959672,0,166,-694.0,0,206,-565.0
13,969357255,0,139,-646.0,0,155,-578.0
14,1982868283,1,201,10439.0,0,197,-536.0
15,965220468,0,211,-571.0,1,221,10443.0
16,593938996,0,156,-640.0,1,192,10463.0
17,1693852805,1,216,10432.0,1,219,10480.0
18,1760409515,1,237,10446.0,0,1,-1000.0
19,1850933495,0,1,-1000.0,0,1,-1000.0
20,1911030005,1,180,10450.0,0,2,-999.0
21,53841429,0,151,-644.0,0,182,-540.0
22,1101595663,0,180,-572.0,0,190,-557.0
23,575885763,0,1,-1000.0,1,185,10474.0
24,526057474,0,15,-983.0,1,213,10449.0
25,518022750,0,1,-1000.0,0,2,-999.0
26,1770045348,1,210,10433.0,1,200,10466.0
27,1700981397,0,1,-1000.0,0,201,-535.0
28,459052467,0,194,-583.0,0,4,-997.0
29,879613214,0,174,-632.0,0,188,-543.0
30,1592288369,0,203,-635.0,1,243,10506.0
31,318317950,0,127,-624.0,0,159,-561.0
32,1352786287,0,179,-560.0,0,177,-533.0
33,941907327,1,220,10457.0,0,1,-1000.0
34,1991591921,1,240,10435.0,1,230,10487.0
35,1587352716,0,142,-690.0,0,149,-607.0
36,498019042,1,227,10449.0,1,216,10478.0
37,1793255565,1,203,10401.0,1,193,10425.0
38,1716108145,0,187,-586.0,0,182,-588.0
39,457504877,0,7,-994.0,1,207,10496.0
40,1112750942,1,197,10445.0,1,185,10475.0
41,1705426420,0,149,-651.0,1,182,10486.0
42,497261917,0,100,-753.0,0,2,-999.0
43,525711219,0,180,-652.0,1,197,10419.0
44,356276112,1,189,10433.0,0,169,-582.0
45,16319298,0,152,-707.0,0,194,-533.0
46,1068993669,0,1,-1000.0,1,203,10474.0
47,34687563,0,5,-996.0,1,225,10477.0
48,1251391636,0,1,-1000.0,0,1,-1000.0
49,892880451,0,7,-994.0,0,125,-724.0
50,395862813,1,204,10425.0,1,202,10481.0
51,777045672,0,189,-575.0,1,200,10481.0
52,31986589,1,219,10481.0,1,213,10477.0
53,307974985,0,1,-1000.0,1,192,10476.0
54,1011750904,0,1,-1000.0,0,222,-523.0
55,166009390,0,11,-989.0,0,2,-999.0
56,1563890638,0,203,-595.0,0,206,-532.0
57,551657761,0,2,-999.0,0,152,-633.0
58,1972679534,0,7,-993.0,0,7,-994.0
59,364416294,0,207,-647.0,0,1,-1000.0
60,1343324047,1,214,10410.0,1,212,10436.0
61,1106683805,0,7,-994.0,0,4,-997.0
62,1969505726,0,176,-637.0,0,194,-526.0
63,1326696624,0,1,-1000.0,0,1,-1000.0
64,1856908173,0,202,-539.0,0,2,-999.0
65,996800583,1,190,10442.0,1,181,10465.0
66,468458252,1,249,10455.0,0,3,-998.0
67,406430445,0,2,-999.0,1,202,10481.0
68,1859994493,1,193,10437.0,0,1,-1000.0
69,436386690,0,139,-727.0,0,165,-679.0
70,1569277833,0,2,-999.0,1,201,10468.0
71,1132670987,1,218,10448.0,1,215,10475.0
72,596711166,0,165,-611.0,0,211,-525.0
73,881793131,0,5,-989.0,0,15,-977.0
74,1711637996,1,196,10468.0,0,180,-522.0
75,972706137,0,1,-1000.0,0,1,-1000.0
76,1858049479,0,3,-998.0,0,201,-530.0
77,2031390834,0,215,-580.0,0,1,-1000.0
78,643037983,0,264,-546.0,0,44,-928.0
79,1129167025,0,202,-607.0,0,194,-577.0
80,1131814256,0,2,-999.0,1,199,10474.0
81,1166011179,1,182,10445.0,0,1,-1000.0
82,153516747,0,177,-637.0,0,198,-582.0
83,794201560,0,5,-996.0,0,1,-1000.0
84,1252494947,0,122,-734.0,1,182,10446.0
85,1972064322,0,24,-964.0,1,203,10455.0
86,510900102,0,1,-1000.0,0,1,-1000.0
87,1383168686,0,65,-877.0,1,195,10412.0
88,1642746920,0,1,-1000.0,0,1,-1000.0
89,1984971981,0,3,-998.0,0,1,-1000.0
90,372871098,0,9,-983.0,1,231,10492.0
91,1448038571,0,165,-681.0,0,198,-554.0
92,671608880,0,3,-998.0,0,4,-997.0
93,944998020,0,1,-1000.0,0,170,-562.0
94,31083701,0,120,-721.0,0,182,-573.0
95,1551035837,0,222,-617.0,1,240,10500.0
96,69904718,0,1,-1000.0,0,2,-999.0
97,803059054,0,37,-881.0,0,36,-877.0
98,1066659082,0,2,-999.0,0,4,-997.0
99,1436707478,0,2,-999.0,0,224,-530.0
100,1005693509,0,168,-663.0,1,209,10430.0
