game,seed,rl_won,rl_steps,rl_reward,bayes_won,bayes_steps,bayes_reward
1,33158374,0,2,-999.0,1,60,10262.0
2,1465339467,1,82,10237.0,1,79,10227.0
3,1273345680,1,77,10202.0,1,81,10211.0
4,115579757,1,94,10266.0,0,1,-1000.0
5,1952249162,0,7,-993.0,0,1,-1000.0
6,473219222,1,88,10244.0,1,78,10251.0
7,547800578,1,83,10258.0,0,4,-997.0
8,395935448,0,64,-882.0,1,70,10167.0
9,716435562,1,88,10268.0,0,1,-1000.0
10,377755045,1,70,10204.0,1,68,10198.0
11,746900260,1,85,10242.0,1,79,10257.0
12,1743959672,0,85,-776.0,1,100,10265.0
13,969357255,0,2,-999.0,0,1,-1000.0
14,1982868283,1,69,10254.0,1,62,10254.0
15,965220468,1,103,10259.0,1,97,10268.0
16,593938996,1,64,10246.0,1,64,10263.0
17,1693852805,0,1,-1000.0,1,77,10257.0
18,1760409515,1,91,10237.0,1,89,10268.0
19,1850933495,1,89,10254.0,1,91,10264.0
20,1911030005,1,61,10248.0,0,56,-747.0
21,53841429,0,1,-1000.0,0,2,-999.0
22,1101595663,0,2,-999.0,1,80,10259.0
23,575885763,0,1,-1000.0,0,1,-1000.0
24,526057474,1,96,10250.0,1,95,10269.0
25,518022750,1,67,10250.0,0,2,-999.0
26,1770045348,0,2,-999.0,0,4,-997.0
27,1700981397,1,105,10239.0,1,98,10271.0
28,459052467,0,3,-993.0,0,3,-998.0
29,879613214,1,103,10261.0,1,100,10271.0
30,1592288369,0,1,-1000.0,1,95,10262.0
31,318317950,1,93,10206.0,1,89,10226.0
32,1352786287,0,96,-757.0,1,80,10266.0
33,941907327,1,78,10226.0,1,68,10229.0
34,1991591921,1,80,10259.0,0,2,-999.0
35,1587352716,1,93,10192.0,1,93,10208.0
36,498019042,1,92,10203.0,1,87,10223.0
37,1793255565,1,77,10254.0,1,80,10259.0
38,1716108145,1,69,10209.0,1,66,10224.0
39,457504877,1,58,10234.0,0,2,-999.0
40,1112750942,1,61,10133.0,1,57,10139.0
41,1705426420,1,89,10253.0,0,4,-997.0
42,497261917,1,89,10251.0,1,88,10275.0
43,525711219,0,3,-998.0,1,113,10275.0
44,356276112,1,73,10156.0,1,67,10159.0
45,16319298,0,9,-992.0,1,75,10257.0
46,1068993669,0,1,-1000.0,1,98,10274.0
47,34687563,1,85,10254.0,1,75,10273.0
48,1251391636,1,87,10252.0,1,88,10251.0
49,892880451,0,62,-868.0,1,74,10169.0
50,395862813,1,96,10261.0,1,98,10268.0
51,777045672,0,3,-998.0,0,1,-1000.0
52,31986589,1,107,10260.0,1,99,10274.0
53,307974985,1,90,10211.0,1,77,10221.0
54,1011750904,0,82,-751.0,0,1,-1000.0
55,166009390,0,62,-788.0,0,1,-1000.0
56,1563890638,1,82,10178.0,1,85,10191.0
57,551657761,0,1,-1000.0,1,64,10252.0
