episode,reward,won,steps,loss
1,2.0810185185185186,1,103.0,-0.092008575797081
2,-0.39583333333333315,0,73.0,0.11357824504375458
3,2.0509259259259265,1,74.0,0.1492007076740265
4,2.0486111111111116,1,75.0,0.062168583273887634
5,1.9930555555555554,1,88.0,-0.12601985037326813
6,-0.17129629629629606,0,69.0,0.5713887214660645
7,-0.9953703703703703,0,2.0,0.2757870554924011
8,1.9189814814814814,1,87.0,-0.012181827798485756
9,2.0092592592592595,1,92.0,-0.12333324551582336
10,-0.9861111111111112,0,4.0,0.25288447737693787
11,0.09259259259259212,0,76.0,0.3188253939151764
12,1.8726851851851851,1,60.0,-0.014856353402137756
13,2.064814814814815,1,105.0,-0.1167120635509491
14,1.8749999999999996,1,78.0,-0.1808515191078186
15,-0.9930555555555556,0,2.0,0.16083106398582458
16,2.078703703703704,1,77.0,-0.04337959364056587
17,2.0625,1,86.0,-0.04215924069285393
18,-1.0,0,1.0,0.31862735748291016
19,-0.9953703703703703,0,2.0,0.2128923535346985
20,2.087962962962963,1,93.0,0.06403845548629761
21,-0.9953703703703703,0,2.0,0.17616669833660126
22,1.7662037037037035,1,56.0,-0.035696592181921005
23,-0.9907407407407407,0,3.0,0.20432016253471375
24,1.9814814814814818,1,94.0,0.10608689486980438
25,2.0578703703703702,1,69.0,0.02544444054365158
26,-1.0,0,1.0,0.2298983335494995
27,2.071759259259259,1,78.0,0.02242659591138363
28,-0.9861111111111112,0,4.0,0.11981705576181412
29,2.083333333333333,1,99.0,-0.11767306923866272
30,1.7384259259259258,1,73.0,-0.08224274963140488
31,1.7685185185185184,1,74.0,0.33881545066833496
32,-0.9907407407407407,0,3.0,0.10750895738601685
33,2.0972222222222214,1,76.0,0.36181700229644775
34,2.081018518518519,1,86.0,-0.09639052301645279
35,-1.0,0,1.0,0.20163749158382416
36,1.8796296296296298,1,81.0,0.2266101837158203
37,2.10648148148148,1,95.0,-0.12297353148460388
38,2.060185185185185,1,89.0,-0.10735408961772919
39,2.0949074074074074,1,109.0,-0.15694311261177063
40,2.0740740740740735,1,51.0,-0.03397835046052933
41,-0.9907407407407407,0,3.0,0.058720365166664124
42,2.0995370370370363,1,87.0,0.19754032790660858
43,2.1111111111111107,1,92.0,-0.09455613791942596
44,-0.08796296296296269,0,69.0,-0.044622667133808136
45,1.9537037037037037,1,103.0,-0.07260438799858093
46,2.0925925925925926,1,66.0,-2.9469363689422607
47,2.0624999999999996,1,73.0,0.3810023367404938
48,2.085648148148148,1,69.0,0.18497368693351746
49,0.0439814814814814,0,58.0,-0.0007626339793205261
50,0.06944444444444442,0,79.0,-0.2112058699131012
51,1.6087962962962958,1,72.0,0.6396041512489319
52,2.101851851851852,1,93.0,-0.03227931633591652
53,2.087962962962963,1,93.0,-0.04966192692518234
54,2.087962962962963,1,77.0,0.11281599849462509
55,0.06481481481481444,0,49.0,0.0035851644352078438
56,-1.0,0,1.0,0.1948399692773819
57,2.1134259259259256,1,103.0,-0.21785391867160797
58,2.0740740740740744,1,83.0,-0.20983420312404633
59,2.12037037037037,1,92.0,0.2306535542011261
60,1.9398148148148144,1,73.0,0.040948398411273956
61,-1.0,0,1.0,0.18394401669502258
62,-0.13657407407407374,0,68.0,-0.08281582593917847
63,1.8888888888888886,1,77.0,0.3061145544052124
64,-0.9861111111111112,0,4.0,0.06792860478162766
65,2.0925925925925926,1,75.0,0.24584567546844482
66,-0.9953703703703703,0,2.0,0.16093723475933075
67,-0.9907407407407407,0,3.0,0.05607415735721588
68,-0.9583333333333334,0,5.0,-0.02073569968342781
69,1.8865740740740744,1,57.0,-0.0402066633105278
70,0.03935185185185186,0,54.0,-0.0050720516592264175
71,-1.0,0,1.0,0.12020950019359589
72,-0.9953703703703703,0,2.0,0.008377661928534508
73,0.06944444444444464,0,96.0,0.13873717188835144
74,2.0879629629629624,1,76.0,-0.3091254234313965
75,1.9953703703703702,1,60.0,-0.033918362110853195
76,2.0763888888888884,1,69.0,-0.010165908373892307
77,2.0740740740740735,1,67.0,0.07959137856960297
78,-0.21759259259259234,0,45.0,-0.010052302852272987
79,2.081018518518518,1,72.0,0.1053677648305893
80,1.6226851851851847,1,66.0,-0.8639302849769592
81,1.958333333333333,1,109.0,-0.11776427924633026
82,2.1273148148148144,1,99.0,-0.07688716053962708
83,2.1226851851851842,1,86.0,0.16333913803100586
84,2.1111111111111107,1,69.0,-0.24390019476413727
85,2.0972222222222223,1,90.0,0.2841598391532898
86,-0.9953703703703703,0,2.0,-0.0010898727923631668
87,-0.2129629629629628,0,29.0,-0.016454244032502174
88,2.1319444444444438,1,93.0,-0.07627855241298676
89,2.0208333333333326,1,104.0,-0.19018682837486267
90,1.8819444444444435,1,81.0,-0.22795549035072327
91,2.018518518518518,1,92.0,-0.29857346415519714
92,-0.02314814814814814,0,82.0,0.01734890230000019
93,-0.8564814814814815,0,19.0,0.034365784376859665
94,2.085648148148148,1,76.0,0.25529932975769043
95,-1.0,0,1.0,0.11162582039833069
96,1.9837962962962958,1,91.0,-0.211015522480011
97,2.05324074074074,1,68.0,-1.4702407121658325
98,2.108796296296296,1,91.0,-0.003955436870455742
99,2.1157407407407405,1,82.0,0.2144811451435089
100,1.9097222222222219,1,74.0,-0.0719590112566948
101,2.087962962962963,1,67.0,-2.0281777381896973
102,-0.19444444444444453,0,25.0,-0.023982461541891098
103,2.0115740740740735,1,65.0,1.1056272983551025
104,2.1157407407407396,1,78.0,-0.3671073019504547
105,2.087962962962963,1,71.0,-0.2176555097103119
106,2.1111111111111107,1,87.0,-0.4099504351615906
107,2.1111111111111107,1,96.0,-0.05879157781600952
108,2.0671296296296298,1,76.0,0.2651436924934387
109,-0.15509259259259267,0,58.0,-0.005736988037824631
110,-0.9953703703703703,0,2.0,0.08762205392122269
111,2.0324074074074066,1,88.0,0.05695314332842827
112,-0.10648148148148184,0,71.0,0.12873539328575134
113,-1.0,0,1.0,0.14843851327896118
114,2.0972222222222214,1,93.0,0.19788971543312073
115,2.076388888888889,1,76.0,0.1342601180076599
116,2.1203703703703702,1,84.0,-0.017898719757795334
117,2.0902777777777777,1,71.0,-1.0838220119476318
118,-0.26157407407407407,0,67.0,0.383318692445755
119,2.0370370370370363,1,81.0,-0.26165837049484253
120,2.1249999999999996,1,101.0,-0.10305272042751312
121,-0.16666666666666663,0,64.0,-0.014453520998358727
122,-0.17592592592592593,0,38.0,0.010442506521940231
123,-0.6689814814814816,0,44.0,-0.010802460834383965
124,1.8703703703703702,1,63.0,-0.034991588443517685
125,-1.0,0,1.0,0.16884823143482208
126,-1.0,0,1.0,0.12602557241916656
127,2.076388888888889,1,79.0,0.09611939638853073
128,-0.05787037037037035,0,68.0,0.5777802467346191
